Fecha,Clientes Atendidos,Tiempo de Respuesta (días),Costo del Servicio (USD)
01-01-2023,143,9.545586048105175,493.9787919019986
04-01-2023,497,2.605964360582088,469.48110724614423
08-01-2023,415,8.960838772307088,551.1445492082969
12-01-2023,70,2.8986577688065704,701.2191421869512
15-01-2023,474,5.867908172657158,592.5208109502198
19-01-2023,310,5.847917179540007,364.9135307080599
23-01-2023,425,9.369575161046864,358.3665700369747
26-01-2023,260,8.754749757919745,928.8010004076024
30-01-2023,77,6.45893289761056,879.4866294988909
03-02-2023,447,9.438328196126351,142.1698148659524
06-02-2023,195,5.067493911173663,263.07321180615054
10-02-2023,471,4.075410169142691,720.807569247577
14-02-2023,172,6.270964557951661,973.2441599663224
17-02-2023,148,5.275357396530566,865.7890670894462
21-02-2023,325,4.605440872633073,543.6847513420234
25-02-2023,149,8.175585396720518,484.70191894440444
28-02-2023,366,9.762326312025948,538.6601009563633
04-03-2023,150,9.815284258986871,471.4387545318736
08-03-2023,68,8.672352107324066,187.07792912386606
11-03-2023,323,5.025741472533281,403.5051969412227
15-03-2023,494,2.8791161821984224,215.68657894134665
19-03-2023,456,3.616212923401247,354.6593127513422
22-03-2023,410,3.854220829708972,891.0303821219666
26-03-2023,421,8.548834439826738,627.9015785043856
30-03-2023,259,6.1401443511687654,518.4467504645963
02-04-2023,422,8.389461759192336,719.8007149646331
06-04-2023,302,7.423694115165853,156.41388336017678
10-04-2023,419,2.2924754169486254,555.906183668537
13-04-2023,70,3.746304877858602,130.08092852534193
17-04-2023,491,4.86164500393138,419.10622017924345
21-04-2023,189,7.009495502917611,180.79840015737767
24-04-2023,245,7.608448870189167,582.2179580746921
28-04-2023,389,2.2108292287582842,705.0371610095546
02-05-2023,213,7.286434330118865,728.4186222522927
06-05-2023,300,2.062910604185035,938.560188876661
09-05-2023,190,2.396896524667591,666.4398392648751
13-05-2023,140,3.789000381211731,468.3628197235359
17-05-2023,192,5.6436768944073865,263.8901250492993
20-05-2023,407,1.097252936914895,746.7551877364132
24-05-2023,361,3.7528761538700266,829.3932207075593
28-05-2023,461,9.244241594189774,816.662198544834
31-05-2023,417,9.971486557029387,737.2095410834141
04-06-2023,312,6.229141779157536,884.7543747640698
08-06-2023,406,2.1413193727554125,329.32470873178374
11-06-2023,300,3.4988062023629203,704.4527717894618
15-06-2023,443,9.559637535862837,762.7293499885432
19-06-2023,93,2.9816621398326038,940.9895206092782
22-06-2023,176,4.91762770987706,897.3256015874603
26-06-2023,385,4.370177072763351,196.84636951039016
30-06-2023,286,6.918126874930898,787.435390276499
03-07-2023,155,7.884607689062814,541.4665993789181
07-07-2023,265,5.688811936636565,243.12823936868978
11-07-2023,390,6.244864090618613,220.15018943014314
14-07-2023,74,9.459330220933307,805.4663350885328
18-07-2023,377,5.63784822521598,558.4392228306934
22-07-2023,104,3.6740259610190313,430.8795643503784
25-07-2023,490,6.284743123999242,642.4719757354476
29-07-2023,421,5.879017835194575,799.7146935420393
02-08-2023,375,5.853900333268049,934.2547981300232
05-08-2023,110,8.771731411674773,525.0042339077347
09-08-2023,170,8.453562641256612,519.7109658500906
13-08-2023,104,5.256775733562858,201.26133705028388
16-08-2023,482,1.9695844059043153,414.35914988115525
20-08-2023,359,5.489746758040209,705.0775478695887
24-08-2023,423,1.3048619579068035,735.0735325771035
27-08-2023,353,5.586158819337998,530.2841435850996
31-08-2023,244,5.775271909726586,868.3451766845384
04-09-2023,487,5.161158015246591,978.0642072407886
08-09-2023,272,5.382788495534133,562.9760802454181
11-09-2023,310,3.058152041155134,109.6855745474687
15-09-2023,232,4.940696183508393,523.6787720572356
19-09-2023,466,7.7602142962201945,683.5300338274611
22-09-2023,433,2.555058981835553,869.0840333252672
26-09-2023,153,2.874529370408349,827.6659660032088
30-09-2023,50,3.198818606742582,978.2264234120797
03-10-2023,373,6.173014714182331,878.2507023045669
07-10-2023,98,9.317188578430066,555.7506040286589
11-10-2023,238,6.307167455233259,126.88060771073548
14-10-2023,178,5.4748828026264995,468.34611269417405
18-10-2023,107,6.855031554862815,578.6482400299683
22-10-2023,78,6.09827941262729,272.3054754377325
25-10-2023,288,9.596238118426585,437.9488342893839
29-10-2023,185,2.0062970766286705,616.5238744497439
02-11-2023,302,4.409270853048006,145.21033336625783
05-11-2023,406,3.4766679574354327,321.3690996054251
09-11-2023,156,7.9997155758098515,811.4867054195236
13-11-2023,380,3.4942880301509898,474.0946231666521
16-11-2023,473,2.2820714581164863,965.0212725272564
20-11-2023,248,1.097941921180287,391.0169078380381
24-11-2023,175,9.63927093781388,738.214575097572
27-11-2023,268,1.3162450434005206,535.525384351123
01-12-2023,158,5.77612164611239,655.8878251443646
05-12-2023,231,8.568027474249966,112.57399638978791
08-12-2023,325,4.103419071862026,359.5598614403959
12-12-2023,220,2.1711197899594805,801.7893537126118
16-12-2023,388,2.0941299641052233,514.5812682511064
19-12-2023,64,6.134303463956748,207.25566797357277
23-12-2023,211,5.096140954210577,161.07645241808953
27-12-2023,418,7.017685206531351,264.2636360623628
31-12-2023,247,2.2263093165663776,576.3370843285769
